Date & Time,Mannerheimintie,Mäkelänkatu2,Kallio2,Vartiokylä,Länsisatama3(M4),Leppävaara4,Tikkurila3,Luukki,Hämeentie(M1),KehäII(M2),Ruskeasanta2(M3),Hyvinkää(M5),Lohja
2014-01-01 23:59:00,53.12903225806452,38.29032258064516,47.41935483870968,48.645161290322584,44.0,40.74193548387097,37.74193548387097,44.516129032258064,47.61290322580645,33.38709677419355,61.266666666666666,30.35483870967742,28.580645161290324
2014-02-01 01:00:00,51.92857142857143,44.57142857142857,49.392857142857146,53.464285714285715,42.607142857142854,45.642857142857146,44.035714285714285,49.392857142857146,47.785714285714285,40.892857142857146,60.18518518518518,34.5,39.464285714285715
2014-02-01 02:00:00,56.392857142857146,47.607142857142854,50.357142857142854,55.035714285714285,41.07142857142857,47.17857142857143,44.214285714285715,48.357142857142854,48.607142857142854,42.535714285714285,50.851851851851855,36.035714285714285,40.892857142857146
2014-02-01 03:00:00,53.357142857142854,45.607142857142854,50.607142857142854,55.642857142857146,43.17857142857143,48.0,44.035714285714285,49.5,45.142857142857146,41.464285714285715,47.44444444444444,34.142857142857146,39.892857142857146
2014-02-01 04:00:00,53.107142857142854,42.214285714285715,50.32142857142857,55.17857142857143,43.464285714285715,46.92857142857143,44.285714285714285,50.214285714285715,45.607142857142854,42.035714285714285,46.44444444444444,32.0,40.142857142857146
2014-02-01 05:00:00,55.107142857142854,39.107142857142854,49.857142857142854,54.214285714285715,43.75,46.142857142857146,44.07142857142857,50.392857142857146,46.25,41.642857142857146,47.22222222222222,31.5,40.142857142857146
2014-02-01 06:00:00,52.107142857142854,38.607142857142854,47.714285714285715,52.92857142857143,43.57142857142857,47.5,45.607142857142854,52.17857142857143,47.857142857142854,43.535714285714285,46.18518518518518,32.142857142857146,41.464285714285715
2014-02-01 07:00:00,53.214285714285715,41.785714285714285,47.357142857142854,51.32142857142857,50.0,53.0,49.57142857142857,50.642857142857146,57.642857142857146,52.25,47.111111111111114,35.785714285714285,42.67857142857143
2014-02-01 08:00:00,56.285714285714285,47.857142857142854,52.785714285714285,52.285714285714285,54.464285714285715,55.714285714285715,55.214285714285715,48.17857142857143,67.28571428571429,59.392857142857146,48.888888888888886,39.785714285714285,43.107142857142854
2014-02-01 09:00:00,57.17857142857143,48.25,53.75,53.57142857142857,49.142857142857146,56.5,57.107142857142854,46.67857142857143,69.10714285714286,61.142857142857146,51.51851851851852,39.892857142857146,44.285714285714285
