Date & Time,Mannerheimintie,Vallila,Kallio2,Vartiokylä,Länsisatama3(M4),Leppävaara4,Tikkurila3,Luukki,Hämeentie(M1),KehäII(M2),Ruskeasanta2(M3),Hyvinkää(M5),Lohja
2014-07-09,14.656484740195296,6.695949970220376,-0.07246799794880587,5.226260219827836,7.704801127861636,8.701168689361033,3.28650621762592,2.5660001379402857,12.185304520772078,1.3979921742898256,9.714989361369248,0.1433911780099919,5.557727311402115
2014-07-10,0.4064847401953102,-13.42905002977961,-10.822467997948806,-6.232073113505507,-12.045198872138378,-7.382164643972288,-8.421827115707423,-2.0589998620597143,-7.939695479227922,-19.727007825710164,-6.035010638630759,-13.398275488656672,-0.23393935526454257
2014-07-11,2.4481514068619674,-14.387383363112953,-15.11413466461547,-13.940406446838828,-18.878532205471707,-10.257164643972288,-17.046827115707423,-10.767333195393057,-10.106362145894579,-21.477007825710164,-12.368343971964094,-11.481608821990001,-11.275606021931214
2014-07-12,6.531484740195296,-8.845716696446281,-6.280801331282149,-8.398739780172164,-10.670198872138378,-8.590497977305624,-15.630160449040751,-5.808999862059721,-7.7730288125612645,-14.22700782571016,-9.868343971964094,-7.773275488656672,-9.150606021931214
2014-07-13,6.573151406861967,9.237616636887061,6.802532002051194,11.476260219827836,12.78813446119495,10.201168689361033,7.453172884292577,13.107666804606943,-0.9813621458945789,-2.560341159043496,14.381656028035906,12.476724511343328,9.599393978068793
2014-07-14,-0.2601819264713754,2.648848520945023,2.490032002051194,5.684593553161179,11.579801127861636,0.07616868936103316,2.2448395509592345,9.691000137940286,8.185304520772078,-5.893674492376832,7.673322694702563,6.643391178009985,-1.3589393552645426
2014-07-15,-1.1768485931380326,-0.7207166964462814,10.071762771281968,1.1012602198278358,12.16313446119495,-1.0564070682147175,2.2031728842925773,-4.7256665287264,1.143637854105421,-8.727007825710167,8.923322694702563,-3.856608821990001,-6.408939355264543
2014-07-16,-0.09351525980468978,-1.1790500297796243,3.927532002051194,-1.482073113505507,0.32980112786162863,-6.340497977305624,2.1198395509592345,-2.6839998620597143,-0.18969547922792174,-8.935341159043496,0.7149893613692484,-3.689942155323344,1.1410606447354574
2014-07-17,-5.676848593138033,-0.6373833631129457,-5.364134664615463,-9.357073113505507,0.4131344611949501,-9.632164643972288,5.203172884292577,-7.892333195393057,1.893637854105421,-12.85200782571016,-2.076677305297437,-8.273275488656672,-5.233939355264543
2014-07-18,-6.46851525980469,-0.9707166964462814,-3.447467997948806,1.642926886494493,2.16313446119495,-0.42383131063896684,3.91150621762592,-1.2256665287264,7.810304520772078,-11.393674492376832,0.3816560280359056,-1.856608821990008,-8.483939355264543
2014-07-19,-8.59351525980469,-4.054050029779624,1.8025320020511941,5.976260219827836,-5.878532205471707,-9.590497977305624,-5.713493782374087,1.8993334712736,-0.6063621458945789,-20.810341159043503,1.5483226947025628,-4.856608821990001,-7.192272688597871
2014-07-20,7.739818073528639,1.0292833035537186,2.510865335384537,2.226260219827836,5.204801127861636,6.409502022694376,6.453172884292577,-0.9339998620597143,1.6019711874387355,-8.768674492376832,7.881656028035906,0.1433911780099919,4.891060644735457
2014-07-21,3.9064847401953102,0.029283303553718554,1.510865335384537,2.0595935531611786,14.54454471760522,2.659502022694376,-0.6718271157074227,5.84630316824331,4.810304520772078,-9.10200782571016,3.048322694702563,-6.564942155323344,-4.108939355264543
2014-07-22,13.781484740195296,5.695949970220376,-0.07246799794880587,2.4345935531611786,5.829801127861636,1.0761686893610332,-7.421827115707423,-1.017333195393057,3.0603045207720783,-6.352007825710167,-0.20167730529743721,-9.064942155323344,2.3910606447354574
2014-07-23,10.614818073528639,9.612616636887061,3.802532002051194,2.8095935531611786,45.288134461194964,4.576168689361033,-2.6301604490407655,-0.6006665287263999,8.643637854105407,-2.6436744923768316,11.506656028035906,2.1017245113433276,5.016060644735457
2014-07-24,12.448151406861967,3.8626166368870614,10.552532002051194,5.142926886494493,9.91313446119495,9.617835356027719,4.828172884292577,8.7743334712736,9.685304520772078,7.856325507623168,14.964989361369248,4.685057844676663,14.8493939780688
2014-07-25,7.239818073528639,10.070949970220376,9.510865335384537,9.809593553161179,15.371467794528293,10.159502022694376,11.328172884292577,14.0243334712736,17.68530452077208,3.064658840956511,16.048322694702563,9.18505784467667,4.891060644735457
2014-07-26,2.2814847401953102,5.320949970220376,6.927532002051194,10.767926886494493,10.496467794528293,6.284502022694376,2.7031728842925773,11.482666804606943,7.72697118743875,-7.727007825710167,14.423322694702563,3.893391178009985,0.6410606447354574
2014-07-27,3.7814847401953102,8.945949970220376,5.927532002051194,2.767926886494493,6.246467794528293,8.409502022694376,2.7031728842925773,7.982666804606943,12.72697118743875,-6.727007825710167,10.839989361369248,-0.9816088219900081,2.4327273114021217
2014-07-28,5.65648474019531,16.27928330355372,11.510865335384537,7.351260219827836,12.746467794528293,13.284502022694376,13.994839550959234,14.3993334712736,17.47697118743875,6.814658840956511,17.46498936136925,13.56005784467667,7.432727311402115
2014-07-29,9.573151406861967,14.195949970220376,21.802532002051194,14.309593553161164,14.66313446119495,12.576168689361033,15.03650621762592,19.795166804606943,10.969395429862985,9.189658840956511,22.714989361369234,11.101724511343328,9.182727311402115
2014-07-30,11.531484740195296,14.029283303553719,27.719198668717866,16.101260219827836,22.41313446119495,16.326168689361033,19.869839550959234,22.554095376035512,13.435304520772078,13.064658840956511,30.464989361369234,12.43505784467667,13.651930209952848
2014-07-31,8.156484740195296,12.445949970220376,22.969198668717866,8.517926886494493,18.746467794528293,9.159502022694376,13.453172884292577,13.7743334712736,8.47697118743875,4.689658840956511,19.131656028035906,13.43505784467667,23.057727311402115
2014-08-01,-1.3018485931380326,-4.512383363112946,9.802532002051194,-4.190406446838821,-10.836865538805036,-11.840497977305624,-12.296827115707423,-2.2256665287264,-9.856362145894579,-17.64367449237683,-10.035010638630759,-11.939942155323344,-16.180367926693116
